	Ctrl_0h	Lps_1h	Lps_2h	Lps_4h	Lps_6h	Lps_12h	Lps_24h	R848_1h	R848_2h	R848_4h	R848_6h	R848_12h	R848_24h	Ifnb_1h	Ifnb_2h	Ifnb_4h	Ifnb_6h	Ifnb_12h	Ifnb_24h
KDM3B	39.8183333333333	27.886	19.202	12.4925	19.54	28.668	41.9533333333333	25.45	16.54	13.6266666666667	11.08	24.23	22.3133333333333	22.16	15.505	13.99	16.91	20.8	27.07
KDM4A	18.7391666666667	15.462	8.958	7.425	13.2125	13.286	18.6633333333333	14.3933333333333	9.61333333333333	9.59	9.88666666666667	16.2766666666667	12.9333333333333	14.195	9.405	10.485	11.92	15.53	17.08
KDM4A-AS1	2.27791666666667	0.906	2.24	1.8575	0.8075	0.974	1.53666666666667	0.696666666666667	0.126666666666667	0.113333333333333	0.34	0.19	0.243333333333333	0.21	0	0.05	0.495	0.08	0.15
KDM4B	12.0625	10.76	8.652	4.7475	7.755	7.774	9.20666666666667	7.02666666666667	6.41	3.84666666666667	5.41333333333333	14.36	7.76666666666667	6.49	4.815	3.79	3.435	4.37	3.915
KDM4C	17.77	13.916	13.236	10.545	8.8425	14.298	15.1666666666667	9.82333333333333	9.16666666666667	5.61666666666667	6.08333333333333	11.02	9.08333333333333	9.27	8.82	7.75	7.58	6.95	8.675
KDM4D	0.386666666666667	0.27	0	0.11375	0.055	0.256	0.353333333333333	0.213333333333333	0.106666666666667	0.103333333333333	0	0.07	0.143333333333333	0.32	0.17	0.05	0.14	0.46	0.27
KDM4E	0.01	0	0	0.01875	0	0	0	0	0	0	0	0	0	0.08	0	0	0	0	0
KDM5A	24.5891666666667	19.668	12.062	13.56	19.5525	21.738	31.3366666666667	16.5	9.35666666666667	11.7	11.4633333333333	16.3233333333333	15.0066666666667	15.89	12.215	15.19	15.315	16.27	18.67
KDM5B	20.3620833333333	13.542	17.76	10.495	13.72	17.444	29.9466666666667	8.95666666666667	7.22666666666667	14.5933333333333	9.86	11.9166666666667	11.0066666666667	8.005	3.39	3.455	2.595	3.765	6.945
KDM5C	30.8283333333333	24.124	23.244	20.3725	25.1175	25.576	30.7133333333333	18.2466666666667	16.5233333333333	14.26	15.9866666666667	24.8766666666667	17.18	14.72	10.245	10.375	10.885	12.41	14.75
KDM5D	7.07416666666667	7.146	9.51	6.10375	2.8475	5.216	7.95666666666667	2.06666666666667	1.70333333333333	0.926666666666667	0.8	1.61666666666667	1.96666666666667	2.425	1.76	1.66	1.015	1.225	2.055
KDM6A	25.3270833333333	16.518	15.306	21.8675	25.0225	25.962	30.38	12.4533333333333	8.65666666666667	13.7433333333333	13.76	14.43	14.5133333333333	10.215	10.02	16.11	17.515	20.275	21.91
KDM6B	75.01625	181.502	570.372	177.07125	74.31	41.906	47.3266666666667	87.8866666666667	362.396666666667	207.076666666667	128.873333333333	56.3933333333333	33.0833333333333	24.61	27.04	6.29	5.44	2.93	4.545
KDM7A	23.8425	30.088	22.922	21.42125	30.3525	24.974	31.9866666666667	24.24	19.88	24.4066666666667	20.07	32.61	23.67	18.715	12.76	12.215	13.61	15.575	20.725
KDM8	2.45375	1.912	0.958	1.06375	1.4125	2.172	3.68333333333333	1.06	0.616666666666667	1.01333333333333	1.39	1.64	1.18666666666667	0.99	1.32	0.905	0.985	1.13	1.865
KDR	7.23625	0.034	0.018	0.0175	0.02	0.01	0	0.0833333333333333	0.04	0.04	0.00666666666666667	0	0	0.08	0.06	0.025	0.06	0.01	0.01
KDSR	19.1820833333333	20.358	16.964	14.8275	17.7925	18.546	22.8833333333333	26.0466666666667	23.74	19.3333333333333	19.49	26.8333333333333	30.5433333333333	26.06	27.255	32.2	31.9	24.425	30.43
KEAP1	31.20375	27.21	20.63	31.84625	28.4225	37.094	46.3466666666667	22.1833333333333	15.3233333333333	27.81	32.7266666666667	38.9833333333333	31.19	21.89	18.525	27.15	29.28	31.985	41.88
KEL	0.769583333333333	0.086	0.114	0.17625	0.22	0.29	0.163333333333333	0.256666666666667	0.25	0.07	0.126666666666667	0.316666666666667	0.17	0.44	0.555	0.115	0.28	0.495	0.175
KERA	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0	0	0.035	0	0	0	0	0
KGFLP1	1.21916666666667	1.118	0.67	0.2625	0.2175	0.752	0.953333333333333	0.51	0.166666666666667	0.29	0.176666666666667	0.0466666666666667	0.343333333333333	0.705	0.705	0.3	0.12	0.2	0.5
KGFLP2	0.627083333333333	0.506	0.212	0.24875	0.3575	0.28	0.656666666666667	0.14	0.313333333333333	0.0833333333333333	0.08	0.08	0.13	0.38	0.115	0.14	0.13	0.02	0.11
KHDC1	0.30625	0.032	0.046	0	0	0.008	0.03	0	0	0	0	0	0.113333333333333	0.11	0	0.41	0.195	0	0.145
KHDC1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KHDC3L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KHDRBS1	107.043333333333	95.524	93.404	113.13375	117.2675	94.86	82.1333333333333	67.1166666666667	71.38	82.9233333333333	78.97	94.6033333333333	78.3633333333333	69.195	75.65	95.66	103.64	96.545	72.815
KHDRBS2	0.461666666666667	0.048	0.036	0	0	0	0	0	0.0466666666666667	0	0	0	0	0.04	0.04	0	0.035	0.03	0
KHDRBS3	1.82958333333333	0.756	0.574	1.49375	1.145	0.832	0.503333333333333	0.14	0.106666666666667	0.77	1.35333333333333	1.30666666666667	0.67	0.195	0.13	0.25	0.455	1.135	1.185
KHK	1.34666666666667	1.154	0.762	0.23125	0.0475	0.172	0.536666666666667	0.86	0.786666666666667	0.28	0.126666666666667	0.136666666666667	0.16	1.415	1.105	0.515	0.175	0.055	0.19
KHNYN	25.0870833333333	22.602	16.602	18.65875	19.92	22.332	30.0166666666667	15.7466666666667	13.89	11.4766666666667	10.5966666666667	16.5633333333333	11.7766666666667	15.15	11.3	10.18	10.77	14.2	17.095
KHSRP	123.550416666667	105.784	129.686	79.485	69.6025	65.794	104.706666666667	103.023333333333	112.613333333333	87.6366666666667	76.7966666666667	94.4033333333333	83.3233333333333	94.405	78.91	73.05	61.47	64.365	90.945
KIAA0020	19.04	13.568	15.278	15.1425	8.845	17.964	24.67	14.3266666666667	12.9466666666667	10.43	16.26	12.8133333333333	11.1566666666667	13.7	12.065	10.04	12.21	16	15.11
KIAA0040	26.7558333333333	35.74	35.084	110.70875	127.9475	66.7	62.1366666666667	16.8933333333333	19.4433333333333	23.6266666666667	32.0833333333333	28.4966666666667	22.0333333333333	21.68	62.945	158.935	177.01	148.55	150.715
KIAA0087	0.18125	0.114	0.126	0.0775	0.06	0.098	0.0833333333333333	0.0266666666666667	0.0166666666666667	0.0133333333333333	0.0833333333333333	0.136666666666667	0.02	0.14	0.075	0.035	0.05	0	0
KIAA0100	136.883333333333	169.36	147.844	86.16125	54.5675	74.678	111.576666666667	128.363333333333	119.39	66.64	35.5066666666667	40.9433333333333	49.9633333333333	122.505	97.515	91.98	65.705	56.635	56.745
KIAA0101	33.5620833333333	1.752	4.194	2.79375	2.05	1.662	1.52666666666667	2.72	1.62333333333333	2.82333333333333	2.53666666666667	1.46666666666667	1.38333333333333	2.43	2.875	2.38	2.745	0.79	0.935
KIAA0125	0.58875	0.014	0.032	0.0125	0.005	0	0.00666666666666667	0	0.00666666666666667	0	0	0.00666666666666667	0	0	0	0	0.015	0.005	0.01
KIAA0141	17.9825	11.43	11.77	6.10125	5.5875	6.326	8.65333333333333	11.7466666666667	11.2133333333333	5.86666666666667	4.68666666666667	5.98666666666667	6.42666666666667	11.855	10.565	8.74	6.105	5.45	7.575
KIAA0195	16.0425	14.918	14.284	8.0025	7.01	7.586	18.3266666666667	12.8166666666667	14.5466666666667	8.55333333333333	3.60666666666667	5.56	11.0133333333333	12.295	9.615	9.63	8.065	5.97	8.855
KIAA0196	47.9904166666667	54.004	44.068	26.29125	24.8975	36.058	48.21	63.5333333333333	55.6633333333333	34.9533333333333	30.6466666666667	45.5366666666667	56	58.52	51.395	43.085	32.63	24.335	28.27
KIAA0226	22.2154166666667	24.664	20.722	55.935	63.645	29.988	30.2	17.0033333333333	15.5033333333333	12.6666666666667	11.53	16.51	12.2633333333333	19.585	29.045	90.245	101.85	87.53	80.915
KIAA0226L	3.57375	2.11	4.674	4.2875	5.0925	8.078	6.18666666666667	2.05	1.42	2.00666666666667	6.79333333333333	15.2333333333333	16.1233333333333	2.275	1.785	0.325	0.36	0.65	1.23
KIAA0232	24.38125	21.242	11.194	14.1725	11.67	8.47	13.98	15.7833333333333	8.69	15.45	11.4566666666667	10.5666666666667	9.78666666666667	15.45	9.245	8.495	6.03	4.265	4.73
KIAA0319	0.0441666666666667	0.07	0.046	0.04	0.0225	0.088	0.09	0	0.03	0.0833333333333333	0.0366666666666667	0.136666666666667	0.326666666666667	0.07	0	0.015	0	0.025	0.025
KIAA0319L	19.8933333333333	22.37	18.46	9.76125	11.81	20.032	26.3533333333333	17.0266666666667	17.7833333333333	7.81	6.48666666666667	13.1233333333333	12.6733333333333	17.06	14.32	11.915	11.255	20.955	26.655
KIAA0355	7.86458333333333	7.618	4.262	3.79125	5.245	5.81	7.40333333333333	6.32	4.57333333333333	3.03666666666667	3.89666666666667	6.34666666666667	6.40666666666667	5.65	3.94	2.445	3.09	4	5.645
KIAA0368	42.9141666666667	37.658	40.276	50.9725	65.1425	44.338	51.9133333333333	39.3066666666667	34.7833333333333	38.7466666666667	44.6866666666667	47.6166666666667	40.5133333333333	35.7	30.9	42.845	52.87	42.47	40.895
KIAA0391	28.3579166666667	34.228	23.6	16.35625	12.95	26.16	22.3166666666667	19.67	17.9433333333333	6.50666666666667	7.65666666666667	12.2566666666667	13.57	22.3	21.38	16.19	13.87	8.57	10.415
KIAA0408	0.105833333333333	0.042	0.09	0.085	0.0575	0.068	0.0566666666666667	0.0366666666666667	0.06	0.07	0.0733333333333333	0.0366666666666667	0.0733333333333333	0.11	0.05	0.045	0.06	0.01	0.06
KIAA0430	40.6529166666667	28.668	15.964	9.4125	16.7525	34.466	50.7333333333333	23.0766666666667	14.46	7.58666666666667	8.45333333333333	20.8066666666667	22.4466666666667	22.8	15.66	11.64	12.99	16.925	24.925
KIAA0513	25.9129166666667	21.53	15.196	6.0475	5.7025	7.904	16.78	18.7633333333333	13.0133333333333	7.52333333333333	4.66333333333333	9.06666666666667	12.7033333333333	16.335	12.22	11.445	15.73	17.6	20.02
KIAA0556	6.425	5.59	5.368	2.68625	3.6025	3.542	6.05666666666667	4.13666666666667	4.37666666666667	2.20666666666667	1.94333333333333	4.16	3.58333333333333	3.875	3.37	3.115	2.995	2.945	4.135
KIAA0586	13.2833333333333	13.788	8.822	3.18875	3.9975	11.232	19.4433333333333	8.38	6.86333333333333	2.27666666666667	2.75666666666667	5.41666666666667	6.37333333333333	8.015	6.01	4.55	3.035	2.67	4.605
KIAA0753	5.8875	3.34	1.684	2.1	2.5475	2.668	3.25666666666667	3.74666666666667	2.39333333333333	2.13666666666667	1.86333333333333	2.64	2.82333333333333	3.56	1.98	2.235	2.15	2.325	2.735
KIAA0754	3.2375	1.598	1.82	2.32625	1.0375	1.178	1.19	0.71	0.543333333333333	1.01	0.38	0.576666666666667	0.686666666666667	0.93	1.73	0.57	0.88	0.545	0.655
KIAA0825	2.69666666666667	2.418	2.024	1.26125	0.7725	0.906	1.26666666666667	1.93666666666667	1.19333333333333	0.136666666666667	0.156666666666667	0.353333333333333	0.366666666666667	1.275	0.95	0.615	1.28	0.91	0.925
KIAA0895	0.235	0.01	0	0.04375	0	0	0.103333333333333	0	0	0.0166666666666667	0	0.0666666666666667	0.04	0.02	0.02	0	0.025	0.02	0.065
KIAA0895L	2.905	2.21	1.626	1.1375	1.0375	1.58	1.21333333333333	1.33333333333333	1.2	0.513333333333333	0.583333333333333	1.38666666666667	0.813333333333333	1.08	1.155	0.755	0.455	0.705	0.56
KIAA0907	18.0258333333333	12.318	12.994	13.78375	6.9175	14.05	18.7233333333333	12.5033333333333	8.29666666666667	9.65333333333333	8.21666666666667	11.4966666666667	12.6333333333333	10.375	5.745	5.44	6.81	11.15	14.185
KIAA0922	9.67875	4.51	3.43	2.0575	1.325	7.578	19.6866666666667	3.6	3.5	1.88666666666667	1.15	0.706666666666667	1.99666666666667	3.455	2.23	3.005	3.84	3.745	4.915
KIAA0930	199.710833333333	215.284	179.656	102.67875	74.125	63.928	64.2533333333333	215.87	212.72	144.72	99.6733333333333	76.7933333333333	59.4166666666667	219.185	183.5	192.355	181.05	154.985	148.01
KIAA1024	0.707083333333333	0.884	0.714	0.43875	0.48	0.456	0.38	0.506666666666667	0.55	0.45	0.623333333333333	0.38	0.32	0.63	0.38	0.47	0.27	0.185	0.29
KIAA1024L	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1033	71.0691666666667	73.198	65.702	78.23875	125.73	100.916	95.9	76.57	68.2633333333333	55.2866666666667	59.7066666666667	79.06	79.92	72.155	79.07	125.41	160.58	144.12	129.86
KIAA1045	0.0395833333333333	0.044	0.104	0.1	0.0875	0.018	0.0233333333333333	0	0.0266666666666667	0.02	0.11	0.05	0.0233333333333333	0.01	0	0	0	0	0
KIAA1107	1.00833333333333	0.608	0.508	0.12	0.2725	0.634	1.06666666666667	0.736666666666667	0.396666666666667	0.0666666666666667	0.153333333333333	0.476666666666667	0.75	0.55	0.43	0.18	0.21	0.45	0.62
KIAA1109	17.8	11.88	12.854	11.44125	16.6875	13.49	13.0033333333333	12.0233333333333	11.3166666666667	6.76333333333333	4.77	9.04666666666667	8.78	10.86	9.745	18.23	21.245	19.11	16.37
KIAA1143	15.9695833333333	13.78	9.454	4.4725	4.1725	8.86	11.24	12.4233333333333	10.39	4.44333333333333	3.33	5.93	5.47666666666667	11.125	9.475	5.67	4.21	4.33	6.835
KIAA1147	12.7495833333333	10.82	10.302	5.0975	3.8825	6.698	12.1866666666667	12.7566666666667	11.3666666666667	5.36666666666667	2.93666666666667	5.45333333333333	4.86666666666667	12.125	9.73	7.31	4.275	2.42	2.375
KIAA1161	2.22083333333333	2.058	1.586	1.26875	0.705	1.16	2.12666666666667	0.433333333333333	0.413333333333333	0.233333333333333	0.24	0.553333333333333	0.4	0.765	0.67	0.63	0.535	0.23	0.15
KIAA1191	63.2141666666667	70.378	58.64	62.9525	70.455	110.992	105.65	36.8533333333333	38.3166666666667	35.94	41.2833333333333	69.74	50.62	38.085	36.595	32.81	30.045	30.115	37.305
KIAA1210	0.0525	0.02	0.02	0.0875	0.055	0.036	0.0366666666666667	0.0133333333333333	0.0966666666666667	0	0.0333333333333333	0.0566666666666667	0.0366666666666667	0.03	0.06	0.03	0	0	0.025
KIAA1211	0.789583333333333	0.114	0.034	0.15125	0.1525	1.484	2.20666666666667	0.0233333333333333	0.0433333333333333	0.0966666666666667	0.09	0.586666666666667	0.436666666666667	0.02	0.025	0.01	0	0.04	0
KIAA1211L	0.826666666666667	0.676	0.28	0.1	0.0725	0.378	0.313333333333333	0.87	0.22	0	0.09	0.91	0.773333333333333	0.805	0.71	0.71	1.155	2.12	3.125
KIAA1217	0.729583333333333	0.012	0	0.03125	0.0275	0.022	0	0	0.0266666666666667	0	0	0	0.0266666666666667	0	0.01	0	0	0	0
KIAA1244	0.23375	0.208	0.192	0.24625	0.225	0.156	0.0633333333333333	0.05	0.0466666666666667	0.1	0.106666666666667	0.133333333333333	0.103333333333333	0.075	0.06	0.075	0.04	0.035	0.025
KIAA1257	0.170416666666667	0	0.06	0	0.05	0.122	0.0833333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0
KIAA1279	20.04625	19.414	19.44	19.915	24.2225	40.31	44.6366666666667	20.7866666666667	14.6133333333333	21.0233333333333	17.19	36.99	35.07	16.055	12.665	13.825	16.62	23	32.25
KIAA1324	2.2475	0.796	2.342	1.6625	1.7625	1.6	2.59	1.20666666666667	1.15333333333333	1.17666666666667	1.42666666666667	0.866666666666667	1.33333333333333	5.795	6.485	6.12	6.52	3.075	3.085
KIAA1324L	0.292916666666667	0.17	0.18	0.15625	0.1125	0.102	0.386666666666667	0.13	0.126666666666667	0.03	0.0833333333333333	0.0566666666666667	0.06	0.18	0.03	0.065	0.015	0	0.015
KIAA1328	1.50541666666667	0.832	0.726	0.30625	0.495	0.588	1.25	1.28333333333333	1.03333333333333	0.413333333333333	0.193333333333333	0.48	0.54	1.005	0.99	0.4	0.6	0.545	1.465
KIAA1377	0.102083333333333	0.032	0.072	0.0175	0.09	0.066	0.0666666666666667	0.0566666666666667	0.193333333333333	0.116666666666667	0.03	0.12	0.06	0.2	0.165	0.125	0.13	0.035	0
KIAA1407	1.74	1.284	0.974	0.50625	0.46	0.872	1.69666666666667	1.25666666666667	0.823333333333333	0.526666666666667	0.426666666666667	0.713333333333333	0.993333333333333	1.32	0.615	0.51	0.325	0.775	1.095
KIAA1429	25.5779166666667	20.172	13.83	11.125	13.01	16.25	24.1866666666667	17.4633333333333	12.0766666666667	12.1366666666667	11.7566666666667	13.66	13.6966666666667	15.925	12.8	11.6	10.215	10.845	13.445
KIAA1456	0.50125	0.424	0.66	0.35625	0.225	0.334	0.413333333333333	0.473333333333333	0.33	0.186666666666667	0.0233333333333333	0.113333333333333	0.126666666666667	0.355	0.225	0.15	0.175	0.055	0.1
KIAA1462	1.4525	2.654	2.164	5.125	6.1525	6.436	5.15333333333333	1.4	1.22666666666667	4.37666666666667	5.11666666666667	7.18	5.83666666666667	1.205	1.18	0.58	0.22	0.185	0.15
KIAA1467	2.79166666666667	2.904	2.63	1.19625	1.795	1.794	2.27333333333333	4.03333333333333	3.35666666666667	1.95	1.20333333333333	2.91	2.99666666666667	3.67	4.46	5.73	8.18	8.83	11.51
KIAA1468	12.5454166666667	9.37	6.228	4.58875	6.4	9.35	10.9666666666667	8.48666666666667	6.38333333333333	5.29666666666667	4.63	7.55666666666667	7.39666666666667	7.765	6.82	5.395	6.045	7.245	7.895
KIAA1522	13.62375	16.166	10.33	21.86875	29.555	8.804	3.13333333333333	5.03333333333333	3.20333333333333	2.43666666666667	1.95666666666667	1.65	0.936666666666667	4.685	3.305	13.63	15.195	8.31	5.88
KIAA1524	5.34875	1.54	1.704	0.83375	0.815	1.4	3.61333333333333	2.58	2.28333333333333	1.56	0.94	1.42666666666667	1.10333333333333	2.535	2.24	2.04	1.415	0.775	0.81
KIAA1549	0.474583333333333	0.042	0.024	0.06	0.055	0.094	0.0266666666666667	0.0166666666666667	0.0133333333333333	0.0133333333333333	0.0566666666666667	0.0566666666666667	0.0166666666666667	0.035	0.055	0.03	0.065	0.035	0.125
KIAA1549L	0.01375	0.016	0	0	0.005	0	0.02	0.0133333333333333	0	0	0.00666666666666667	0.06	0	0	0	0	0	0	0
KIAA1551	37.2616666666667	25.08	13.384	11.02875	14.98	15.648	18.5766666666667	29.4033333333333	10.8666666666667	11.3666666666667	9.55666666666667	11.6466666666667	11.4066666666667	24.035	11.515	14.18	17.41	21.525	25.935
KIAA1586	9.35041666666667	4.486	2.654	3.24625	3.115	4.88	5.02333333333333	2.9	1.92666666666667	2.19333333333333	2.09	3.21333333333333	2.94333333333333	4.19	3.41	2.35	2.77	2.515	2.135
KIAA1598	116.579583333333	121.998	114.376	66.69125	39.5175	51.3	49.69	117.31	109.6	63.3466666666667	36.74	49.8533333333333	53.7866666666667	107.04	102.4	78.735	71.965	82.975	85.725
KIAA1614	0.35875	0.202	0.284	0.305	0.2225	0.186	0.373333333333333	0.12	0.0866666666666667	0.0166666666666667	0.0633333333333333	0.196666666666667	0.1	0.185	0.225	0.095	0.295	0.19	0.15
KIAA1644	0.0145833333333333	0	0	0.0175	0.0425	0.012	0.01	0.01	0	0	0.0366666666666667	0.01	0.03	0	0	0	0	0	0
KIAA1656	0.371666666666667	0.108	0.182	0.1675	0.21	0.182	0.183333333333333	0.0466666666666667	0.0833333333333333	0.0333333333333333	0.0633333333333333	0.16	0.163333333333333	0.11	0.19	0.075	0.145	0.045	0.095
KIAA1671	1.46125	2.212	0.94	5.18125	5.1	9.546	6.78333333333333	0.22	0.223333333333333	0.64	0.656666666666667	1.37666666666667	1.03	0.155	0.22	0.595	0.805	0.765	0.825
KIAA1683	1.36208333333333	0.314	0.518	0.1	0.03	0.17	0.353333333333333	0.14	0.11	0.0633333333333333	0.0166666666666667	0.0233333333333333	0.103333333333333	0.115	0.11	0	0.02	0.05	0.02
KIAA1715	21.2695833333333	23.444	19.792	11.97375	9.9225	16.112	20.0366666666667	25.05	22.4633333333333	14.36	9.61	22.4966666666667	19.7433333333333	21.105	19.495	15.54	12.725	6.77	8.805
KIAA1731NL	4.38291666666667	0.614	1.988	1.02125	1.1475	0.666	1.17666666666667	0.356666666666667	0.423333333333333	0.12	0.3	0.66	0.293333333333333	0.525	0.945	0.58	0.86	0.72	0.45
KIAA1755	0.395833333333333	0.252	0.112	0.06625	0.0875	0.528	1.79	0.633333333333333	0.39	0.0466666666666667	0.14	0.796666666666667	0.983333333333333	0.75	0.58	0.215	0.125	0.615	1.47
KIAA1804	4.36875	6.096	4.658	6.36625	7.74	17.03	19.8666666666667	4.02	2.83333333333333	2.61333333333333	8.67333333333333	11.71	6.4	3.92	4.425	3.295	2.2	1.79	2.695
KIAA1841	6.10291666666667	5.422	4.85	5.14375	4.2475	6.354	2.90666666666667	3.51	3.32333333333333	2.86	3.26666666666667	3.62	2.72	3.37	2.545	2.33	2.655	2.26	2.785
KIAA1875	0.244166666666667	0.12	0.246	0.1875	0.17	0.14	0.386666666666667	0.23	0.146666666666667	0.123333333333333	0.38	0.343333333333333	0.23	0.555	0.54	0.36	0.315	0.27	0.135
KIAA1919	5.40583333333333	3.686	4.156	3.02125	3.1275	3.814	4.13333333333333	4.02333333333333	3.29	2.19333333333333	2.22666666666667	3.89666666666667	4.04666666666667	3.6	2.92	2.16	1.48	2.82	3.395
KIAA1958	2.945	1.21	0.784	0.84625	1.5025	1.712	2.72666666666667	0.67	0.63	0.25	0.2	0.703333333333333	0.533333333333333	0.625	0.67	2.6	3.895	4.09	5.325
KIAA2012	0.00375	0	0.066	0.00625	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0
KIAA2013	53.1679166666667	47.018	42.816	19.45	16.5575	32.386	49.35	50.26	46.8833333333333	20.5566666666667	17.7366666666667	36.95	41.1533333333333	51.59	41.74	35.73	32.485	40.255	61.97
KIAA2018	23.325	14.964	14.018	13.3275	17.55	17.73	21.71	11.71	10.9833333333333	13.2633333333333	14.69	16.8733333333333	15.2433333333333	11.6	10.265	10.075	10.315	9.075	10.535
KIAA2022	0.0141666666666667	0	0.006	0.01875	0.005	0.01	0.01	0	0	0	0.01	0	0	0	0	0.005	0	0	0
KIAA2026	15.2641666666667	13.728	11.102	11.44375	13.3275	13.214	15.8066666666667	11.2466666666667	10.22	11.9033333333333	11.0733333333333	13.6733333333333	10.6966666666667	10.11	8.7	9.73	9.32	9.905	10.77
KIDINS220	41.90625	46.172	43.516	31.69	29.025	29.99	42.2433333333333	41.2133333333333	38.7566666666667	28.37	25.32	29.65	28.44	38.675	33.575	33.3	32.95	19.33	18.71
KIF11	9.16791666666667	1.176	0.94	0.15875	0.25	0.432	0.85	1.43	1.20333333333333	0.326666666666667	0.216666666666667	0.486666666666667	0.376666666666667	1.43	0.635	0.545	0.47	0.24	0.24
KIF12	0.0120833333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF13A	33.4445833333333	30.098	25.306	15.695	17.78	18.58	25.09	18.39	16.9433333333333	9.40666666666667	11.43	16.37	14.4966666666667	17.05	15.335	12.42	15.79	20.245	20.005
KIF13B	17.06625	16.15	15.662	11.15125	13.6025	12.29	15.5833333333333	16.5966666666667	15.1033333333333	12.4766666666667	12.03	14.5933333333333	13.2033333333333	14.385	12.14	14.265	21.33	22.975	23.345
KIF14	2.57875	0.134	0.228	0.055	0.0575	0.08	0.04	0.273333333333333	0.186666666666667	0.123333333333333	0.15	0.0966666666666667	0.146666666666667	0.28	0.165	0.28	0.33	0.075	0.105
KIF15	4.09708333333333	0.298	0.244	0.10625	0.185	0.116	0.103333333333333	0.323333333333333	0.0666666666666667	0.0366666666666667	0.116666666666667	0.0733333333333333	0.0266666666666667	0.295	0.185	0.095	0.12	0.045	0.115
KIF16B	15.3716666666667	15.656	17.112	6.83625	5.135	10.56	18.5433333333333	17.1533333333333	15.7566666666667	5.74333333333333	4.87333333333333	14.75	16.79	17.55	15.145	9.94	6.645	7.99	9.915
KIF17	3.05166666666667	3.444	2.402	1.11125	0.375	0.472	0.863333333333333	0.99	0.736666666666667	0.2	0.166666666666667	0.2	0.26	0.725	0.385	0.725	0.745	1.245	2.37
KIF18A	2.81458333333333	0.598	0.014	0.04	0.08	0.094	0.0866666666666667	0.236666666666667	0.0933333333333333	0	0.0366666666666667	0.0433333333333333	0.04	0.11	0.28	0.025	0.12	0.155	0.065
KIF18B	5.70291666666667	0.686	1.214	0.8125	0.6675	0.626	0.823333333333333	0.486666666666667	0.216666666666667	0.24	0.0966666666666667	0.42	0.193333333333333	0.63	0.985	0.405	0.615	0.22	0.165
KIF19	0.0704166666666667	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0.02
KIF1A	0.00333333333333333	0.004	0	0	0	0.008	0	0	0	0	0	0.0166666666666667	0	0.02	0	0	0	0	0
KIF1B	26.46125	35.336	104.36	57.525	54.2225	51.622	56.7666666666667	22.6233333333333	51.6233333333333	60.3833333333333	38.1766666666667	49.9733333333333	39.12	19.53	19.72	32.52	35.935	28.925	29.31
KIF1C	16.29375	12.626	15.114	12.13125	13.645	12.834	14.4433333333333	12.67	12.6133333333333	9.98666666666667	9.2	16.4666666666667	11.6766666666667	12.545	11.76	11.44	10.13	9.11	7.1
KIF20A	4.65666666666667	0.204	0.128	0.03875	0.0875	0.126	0.106666666666667	0.316666666666667	0.31	0	0	0.02	0	0.495	0.385	0.185	0.095	0.02	0
KIF20B	9.24166666666667	3.312	2.77	0.61375	0.6125	1.514	1.76	2.76	2.46666666666667	1.03	0.606666666666667	0.893333333333333	1.1	2.38	1.915	1.18	0.95	1.045	2.52
KIF21A	0.162083333333333	0.19	0.378	0.69375	0.275	0.244	0.373333333333333	0.11	0.0466666666666667	0.5	0.45	0.3	0.0966666666666667	0.075	0.025	0.07	0.07	0.02	0.01
KIF21B	10.4175	2.096	6.256	6.1225	2.74	3.126	4.54	1.56333333333333	1.93333333333333	3.02666666666667	3.12333333333333	2.07	1.27	1.555	1.055	0.36	0.19	0.325	0.335
KIF22	20.4370833333333	5.38	4.194	1.0075	0.63	1.856	3.51333333333333	5.13	2.83333333333333	0.723333333333333	0.41	0.893333333333333	1.38333333333333	3.56	3.73	2.695	1.355	0.935	1.98
KIF23	5.52083333333333	0.872	0.444	0.26125	0.2625	0.578	0.89	0.703333333333333	0.5	0.0733333333333333	0.173333333333333	0.363333333333333	0.46	0.82	0.505	0.915	0.98	0.765	0.85
KIF24	2.13625	1.22	0.712	0.285	0.245	0.164	0.27	0.656666666666667	0.496666666666667	0.03	0.0433333333333333	0.193333333333333	0.14	0.76	0.55	0.38	0.175	0.26	0.37
KIF25	0.01	0.064	0	0	0.035	0.18	0.45	0	0	0	0	0	0	0	0	0	0	0	0
KIF25-AS1	0.0204166666666667	0.126	0.358	0.13375	0.0375	0	0	0.153333333333333	0.21	0	0.0333333333333333	0.106666666666667	0.0466666666666667	0.135	0	0	0	0	0
KIF26A	0.125833333333333	0.02	0.008	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0.01	0
KIF26B	0.0725	0.004	0.008	0	0.015	0	0	0	0.01	0	0	0	0	0.015	0	0	0.05	0.095	0.03
